variant_name,prompt_variant,model_variant,model_variant_type,checkpoint_name,prompt,use_en_prompt,sample_folder,sample_id,sample_id_str,split,sample_dir,layer_index,layer_name,pred_layer_path,target_layer_path,iou,dice,precision,recall,soft_iou,alpha_mae,pred_alpha_mean,target_alpha_mean,pred_coverage,target_coverage,coverage_ratio,pred_pixel_count,target_pixel_count,intersection_pixel_count,union_pixel_count,empty_layer,full_layer,multi_layer_overlap_fraction,mean_pairwise_overlap_fraction,composite_rgb_mae,composite_rgb_psnr
base_model,default,base_model,base,,,,00003,3,00003,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/base_model/00003,0,BG,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/base_model/00003/layer_00.png,/content/processed_celebmaskhq_bghairface_5k_test_eval_32/layered_layers/00003/00_bg.png,0.17639404296875,0.29988938489284034,0.17639404296875,1.0,0.17629695892333985,0.8237032294273376,1.0,0.17629697918891907,1.0,0.17639404296875,5.669125686841705,409600,72251,72251,409600,False,True,0.99955322265625,0.37412841796875,0.010394451208412647,37.103809115488176
base_model,default,base_model,base,,,,00003,3,00003,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/base_model/00003,1,HAIR,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/base_model/00003/layer_01.png,/content/processed_celebmaskhq_bghairface_5k_test_eval_32/layered_layers/00003/01_hair.png,0.0972395561279621,0.17724398575477868,0.2536560504254124,0.13621130709681745,0.09774370069060886,0.5521417856216431,0.23482181131839752,0.43694981932640076,0.2347216796875,0.4371044921875,0.5369921469185313,96142,179038,24387,250793,False,False,0.99955322265625,0.37412841796875,0.010394451208412647,37.103809115488176
base_model,default,base_model,base,,,,00003,3,00003,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/base_model/00003,2,FACE,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/base_model/00003/layer_02.png,/content/processed_celebmaskhq_bghairface_5k_test_eval_32/layered_layers/00003/02_face.png,0.47539971220130545,0.6444351429240909,0.47539971220130545,1.0,0.4744579332711141,0.43528813123703003,0.8282236456871033,0.39301761984825134,0.82624755859375,0.3927978515625,2.1034930697992418,338431,160890,160890,338431,False,False,0.99955322265625,0.37412841796875,0.010394451208412647,37.103809115488176
base_model,default,base_model,base,,,,00169,169,00169,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/base_model/00169,0,BG,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/base_model/00169/layer_00.png,/content/processed_celebmaskhq_bghairface_5k_test_eval_32/layered_layers/00169/00_bg.png,0.450791015625,0.6214416973499102,0.450791015625,1.0,0.4506165975367848,0.549191951751709,0.9996503591537476,0.45046067237854004,1.0,0.450791015625,2.218322826628539,409600,184644,184644,409600,False,True,0.0,0.0,0.01047673262655735,37.35579157646905
base_model,default,base_model,base,,,,00169,169,00169,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/base_model/00169,1,HAIR,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/base_model/00169/layer_01.png,/content/processed_celebmaskhq_bghairface_5k_test_eval_32/layered_layers/00169/01_hair.png,0.0,0.0,0.0,0.0,0.001214578790615428,0.13728347420692444,0.0013185894349589944,0.1362987458705902,0.0,0.1362744140625,0.0,0,55818,0,55818,True,False,0.0,0.0,0.01047673262655735,37.35579157646905
base_model,default,base_model,base,,,,00169,169,00169,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/base_model/00169,2,FACE,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/base_model/00169/layer_02.png,/content/processed_celebmaskhq_bghairface_5k_test_eval_32/layered_layers/00169/02_face.png,0.0,0.0,0.0,0.0,0.0010165593126397782,0.41900303959846497,0.001277774921618402,0.4185779094696045,0.0,0.41826416015625,0.0,0,171321,0,171321,True,False,0.0,0.0,0.01047673262655735,37.35579157646905
base_model,default,base_model,base,,,,00361,361,00361,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/base_model/00361,0,BG,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/base_model/00361/layer_00.png,/content/processed_celebmaskhq_bghairface_5k_test_eval_32/layered_layers/00361/00_bg.png,0.32677734375,0.49258806730358745,0.32677734375,1.0,0.3265091323852539,0.6734910011291504,1.0,0.32650917768478394,1.0,0.32677734375,3.060187675572291,409600,133848,133848,409600,False,True,1.0,0.48575683593749996,0.00892002321779728,38.194022224725884
base_model,default,base_model,base,,,,00361,361,00361,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/base_model/00361,1,HAIR,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/base_model/00361/layer_01.png,/content/processed_celebmaskhq_bghairface_5k_test_eval_32/layered_layers/00361/01_hair.png,0.544473558166399,0.7050603816264731,0.8254225886021207,0.6153331794337025,0.5409619118663405,0.15962421894073486,0.22917449474334717,0.306674063205719,0.22863525390625,0.30669677734375,0.7454765449002173,93649,125623,77300,141972,False,False,1.0,0.48575683593749996,0.00892002321779728,38.194022224725884
base_model,default,base_model,base,,,,00361,361,00361,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/base_model/00361,2,FACE,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/base_model/00361/layer_02.png,/content/processed_celebmaskhq_bghairface_5k_test_eval_32/layered_layers/00361/02_face.png,0.3737841796875,0.5441672501608311,0.3737841796875,1.0,0.3748615146853518,0.6235783696174622,0.9973995685577393,0.37403082847595215,1.0,0.3737841796875,2.675340622591475,409600,153102,153102,409600,False,True,1.0,0.48575683593749996,0.00892002321779728,38.194022224725884
base_model,default,base_model,base,,,,00504,504,00504,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/base_model/00504,0,BG,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/base_model/00504/layer_00.png,/content/processed_celebmaskhq_bghairface_5k_test_eval_32/layered_layers/00504/00_bg.png,0.3838720703125,0.5547797062279256,0.3838720703125,1.0,0.3824665352355363,0.6174042820930481,0.9985668659210205,0.3836101293563843,1.0,0.3838720703125,2.6050345345154358,409600,157234,157234,409600,False,True,0.1191455078125,0.04735351562499999,0.015013199299573898,34.06725716380999
base_model,default,base_model,base,,,,00504,504,00504,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/base_model/00504,1,HAIR,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/base_model/00504/layer_01.png,/content/processed_celebmaskhq_bghairface_5k_test_eval_32/layered_layers/00504/01_hair.png,0.0,0.0,0.0,0.0,0.0024420170322254154,0.38857513666152954,0.12638570368289948,0.2640917897224426,0.11873291015625,0.26406005859375,0.44964358028458107,48633,108159,0,156792,False,False,0.1191455078125,0.04735351562499999,0.015013199299573898,34.06725716380999
